trial_id,datetime_start,datetime_end
81,2023-08-09 11:02:48,2023-08-09 11:03:56
82,2023-08-09 11:03:56,2023-08-09 11:05:04
83,2023-08-09 11:05:04,2023-08-09 11:06:12
84,2023-08-09 11:06:12,2023-08-09 11:07:19
85,2023-08-09 11:07:19,2023-08-09 11:08:27
86,2023-08-09 11:08:27,2023-08-09 11:09:35
87,2023-08-09 11:09:35,2023-08-09 11:10:42
88,2023-08-09 11:10:42,2023-08-09 11:11:50
89,2023-08-09 11:11:50,2023-08-09 11:12:59
90,2023-08-09 11:12:59,2023-08-09 11:14:07
91,2023-08-09 11:14:07,2023-08-09 11:15:15
92,2023-08-09 11:15:15,2023-08-09 11:16:23
93,2023-08-09 11:16:23,2023-08-09 11:17:32
94,2023-08-09 11:17:32,2023-08-09 11:18:41
95,2023-08-09 11:18:41,2023-08-09 11:19:49
96,2023-08-09 11:19:49,2023-08-09 11:20:58
97,2023-08-09 11:20:58,2023-08-09 11:22:07
98,2023-08-09 11:22:07,2023-08-09 11:23:16
99,2023-08-09 11:23:16,2023-08-09 11:24:25
100,2023-08-09 11:24:25,2023-08-09 11:25:34
101,2023-08-09 11:25:34,2023-08-09 11:26:43
102,2023-08-09 11:26:43,2023-08-09 11:27:54
103,2023-08-09 11:27:54,2023-08-09 11:29:04
104,2023-08-09 11:29:04,2023-08-09 11:30:14
105,2023-08-09 11:30:14,2023-08-09 11:31:24
106,2023-08-09 11:31:24,2023-08-09 11:32:34
107,2023-08-09 11:32:34,2023-08-09 11:33:43
108,2023-08-09 11:33:43,2023-08-09 11:34:54
109,2023-08-09 11:34:54,2023-08-09 11:36:05
110,2023-08-09 11:36:05,2023-08-09 11:37:16
111,2023-08-09 11:37:16,2023-08-09 11:38:28
112,2023-08-09 11:38:28,2023-08-09 11:39:40
113,2023-08-09 11:39:40,2023-08-09 11:40:52
114,2023-08-09 11:40:52,2023-08-09 11:42:04
115,2023-08-09 11:42:04,2023-08-09 11:43:17
116,2023-08-09 11:43:17,2023-08-09 11:44:29
117,2023-08-09 11:44:29,2023-08-09 11:45:42
118,2023-08-09 11:45:42,2023-08-09 11:46:56
119,2023-08-09 11:46:56,2023-08-09 11:48:10
120,2023-08-09 11:48:10,2023-08-09 11:49:24
121,2023-08-09 11:49:24,2023-08-09 11:50:40
122,2023-08-09 11:50:40,2023-08-09 11:51:57
123,2023-08-09 11:51:57,2023-08-09 11:53:14
124,2023-08-09 11:53:14,2023-08-09 11:54:30
125,2023-08-09 11:54:30,2023-08-09 11:55:46
126,2023-08-09 11:55:46,2023-08-09 11:57:03
127,2023-08-09 11:57:03,2023-08-09 11:58:20
